Disclaimer: Although Stormwater Services makes every effort to ensure data quality in the monitoring program, errors do arise and may not be identified at the time the data was uploaded to this database.  The City of Durham does not assume any liability associated with the use of these data and is not obligated to notify parties of modifications or changes to the database.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Query Results: ,,,,,,,,,,,,,,,
Name:EL10.7EC-EL1.9EC-EL5.0EC-EL5.5GC-EL5.6EC-EL7.1EC-EL7.1SEC-EL7.6SECT-EL7.9EC-EL8.1GC-EL8.2EC-EL8.5SEC-EL8.6SECUT-EL9.9EC-EL-Englewood-EL-Knox ,,,,,,,,,,,,,,,
Medium:Water,,,,,,,,,,,,,,,
Parameters: all ,,,,,,,,,,,,,,,
Project: Ambient,,,,,,,,,,,,,,,
Time Period:2016-05-02 ~ 2022-05-02,,,,,,,,,,,,,,,
Data was downloaded on May 23 2022 11:41 am,,,,,,,,,,,,,,,
The data contains the QA code. ,,,,,,,,,,,,,,,
For Help with QA code, please check http://www.durhamwaterquality.org/QAcode.php,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Station Name,Filtered,Parameter,Date/Time,Value,QA Code,Unit,QAQC Sample,Comments,Rain in Last 24 Hours,Sky Condition,Flow Severity,Comp  Code,Thalweg,Lab,Project
EL8.5SEC,,Aluminum,11/9/16 9:05,414,,ug/L,,"Staff Gage:  0.90; High stage, merky water",No,Overcast,2,G,Yes,SDWRF,Ambient
EL8.5SEC,,Aluminum,12/8/16 9:00,62,,ug/L,,Staff Gage:  0.67,Yes,Overcast,2,G,Yes,SDWRF,Ambient
EL10.7EC,,Ammonia Nitrogen,1/11/17 9:20,0.23,,mg/L,,Duplicate Site; High conductivity due to ice treatment for snow storm Duplicate,Yes,Overcast,3,G,Yes,SDWRF,Ambient
EL10.7EC,,Ammonia Nitrogen,1/11/17 9:20,0.21,,mg/L,,Duplicate Site; High conductivity due to ice treatment for snow storm Duplicate,Yes,Overcast,3,G,Yes,SDWRF,Ambient
EL10.7EC,,Ammonia Nitrogen,2/15/17 9:00,0.46,,mg/L,, ,Yes,overcast,3,G,Yes,SDWRF,Ambient
EL10.7EC,,Ammonia Nitrogen,3/15/17 8:50,0.04,U,mg/L,, ,Yes,suny,2,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,5/10/16 9:05,0.12,,mg/L,, ,Yes,Overcast,2,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,6/14/16 9:15,0.05,,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,7/12/16 9:25,0.06,,mg/L,, ,No,Sunny,3,G,Yes,SDWRF,Ambient
EL1.9EC,,Ammonia Nitrogen,8/9/16 9:15,0.09,,mg/L,, ,Yes,Overcast,3,G,Yes,SDWRF,Ambient
